"sep=,"
ID,ID2,Title
SCAJ-20196,SCAJ_201.96,WANDA TO KYOZOUS [PLAYSTATION 2 THE BEST]
SCAJ-20197,SCAJ_201.97,Valkyrie Profile 2 - Silmeria (Ultimate Hits)
SCAJ-20199,SCAJ_201.99,Tekken 5 (Playstation 2 The Best)
SCAJ-20200,SCAJ_202.00,Super Robot Wars Original Generations (Playstation 2 The Best)
SCAJ-20201,SCAJ_202.01,Super Robot Wars Z
SCAJ-20202,SCAJ_202.02,Super Robot Wars Z (Special Disc)
SCAJ-20203,SCAJ_202.03,SD Gundam G Generation Wars
SCAJ-25004,SCAJ_250.04,KINGDOM HEARTS - FINAL MIX
SCAJ-25008,SCAJ_250.08,INITIAL D SPECIAL STAGE
SCAJ-25012,SCAJ_250.12,FINAL FANTASY X-2
SCAJ-25026,SCAJ_250.26,KUNOICHI
SCAJ-25037,SCAJ_250.37,Astro Boy Atom
SCAJ-25045,SCAJ_250.45,Sakura Taisen V - Episode 0 - Kouya no Samurai Musume
SCAJ-25047,SCAJ_250.47,Dororo
SCAJ-25055,SCAJ_250.55,Def Jam - Fight for N.Y.
SCAJ-30001,SCAJ_300.01,Xenosaga Episode I - Der Wille zur Macht (Playstation 2 The Best)
SCAJ-30002,SCAJ_300.02,WILD ARMS - ALTER CODE F
SCAJ-30003,SCAJ_300.03,SIREN
SCAJ-30004,SCAJ_300.04,Waga Ryuu o Miyo: Pride of the Dragon Peace
SCAJ-30005,SCAJ_300.05,Gacha Mecha Stadium Saru Battle
SCAJ-30006,SCAJ_300.06,Gran Turismo 4
SCAJ-30007,SCAJ_300.07,Gran Turismo 4
SCAJ-30008,SCAJ_300.08,Gran Turismo 4 (Playstation 2 The Best)
SCAJ-30010,SCAJ_300.10,GOD OF WAR
SCAJ-30011,SCAJ_300.11,GOD OF WAR II
SCAJ-97481,SCAJ_974.81,God of War II
SCCS-40001,SCCS_400.01,APE ESCAPE 2
SCCS-40002,SCCS_400.02,Devil May Cry 2 (Disc 1)
SCCS-40003,SCCS_400.03,Devil May Cry 2 (Disc 2)
SCCS-40004,SCCS_400.04,XI Go
SCCS-40005,SCCS_400.05,Ico
SCCS-40006,SCCS_400.06,Shin Sangoku Musou 2
SCCS-40009,SCCS_400.09,Dragon Ball Z - Budokai 2
SCCS-40010,SCCS_400.10,Super Puzzle Bobble 2
SCCS-40011,SCCS_400.11,Armored Core 2 - Another Age
SCCS-40014,SCCS_400.14,World Soccer Winning Eleven 7 International
SCCS-40015,SCCS_400.15,Viorate no Atelier - The Alchemist of Gramnad
SCCS-40016,SCCS_400.16,Ape Escape - Pumped & Primed
SCCS-40017,SCCS_400.17,EyeToy - Play
SCCS-40018,SCCS_400.18,EyeToy - Monkey Mania
SCCS-40019,SCCS_400.19,Formula One 2004
SCCS-40022,SCCS_400.22,World Soccer Winning Eleven 8 - Asia Championship
SCCS-60002,SCCS_600.02,Gran Turismo 4
SCED-50065,SCED_500.65,Official PlayStation 2 Magazine Demo 1
SCED-51314,SCED_513.14,Kingdom Hearts
SCED-51591,SCED_515.91,PlayStation 2 Official Demo Disc Edition Pour Revendeurs #5
SCED-51700,SCED_517.00,Jak II: Renegade (Demo)
SCED-52094,SCED_520.94,G-Con 2 Competition Demo
SCED-52681,SCED_526.81,Gran Turismo 4 (BMW 1 Series Virtual Drive)
SCED-52818,SCED_528.18,EyeToy: Chat Light
SCED-52899,SCED_528.99,Killzone (Bonus Disc)
SCED-52952,SCED_529.52,Jak 3
SCED-53660,SCED_536.60,Jak X & Ratchet: Gladiator (Demo)
SCED-53674,SCED_536.74,Soulcalibur III (Demo)
SCES-00743,SCES_007.43,PaRappa the Rapper: The Hip Hop Hero
SCES-02105,SCES_021.05,CTR: Crash Team Racing
SCES-02834,SCES_028.34,Crash Bash
SCES-50000,SCES_500.00,Ridge Racer V
SCES-50001,SCES_500.01,Tekken Tag Tournament
SCES-50002,SCES_500.02,Fantavision
SCES-50003,SCES_500.03,Dead or Alive 2
SCES-50004,SCES_500.04,Formula One 2001
SCES-50005,SCES_500.05,Wipeout Fusion
SCES-50006,SCES_500.06,DRAKAN - THE ANCIENTS' GATES
SCES-50034,SCES_500.34,MotoGP
SCES-50105,SCES_501.05,SKY ODYSSEY
SCES-50139,SCES_501.39,WRC: World Rally Championship
SCES-50240,SCES_502.40,Extermination
SCES-50241,SCES_502.41,The Bouncer
SCES-50244,SCES_502.44,This is Football 2002
SCES-50245,SCES_502.45,Le Monde des Bleus 2002
SCES-50246,SCES_502.46,AirBlade
SCES-50293,SCES_502.93,ATV Offroad: All Terrain Vehicle
SCES-50294,SCES_502.94,Gran Turismo 3 A-Spec
SCES-50295,SCES_502.95,DARK CLOUD
SCES-50300,SCES_503.00,Time Crisis II
SCES-50354,SCES_503.54,KLONOA 2 - LUNATEA'S VEIL
SCES-50360,SCES_503.60,Twisted Metal: Black
SCES-50361,SCES_503.61,Jak and Daxter: The Precursor Legacy
SCES-50408,SCES_504.08,PaRappa the Rapper 2
SCES-50409,SCES_504.09,MotoGP 2
SCES-50410,SCES_504.10,Ace Combat: Distant Thunder
SCES-50411,SCES_504.11,Vampire Night
SCES-50459,SCES_504.59,Dropship - United Peace Force
SCES-50490,SCES_504.90,Final Fantasy X
SCES-50491,SCES_504.91,Final Fantasy X
SCES-50492,SCES_504.92,Final Fantasy X
SCES-50493,SCES_504.93,Final Fantasy X
SCES-50494,SCES_504.94,Final Fantasy X
SCES-50499,SCES_504.99,ECCO THE DOLPHIN - DEFENDER OF THE FUTURE
SCES-50500,SCES_505.00,Headhunter
SCES-50501,SCES_505.01,Rez
SCES-50522,SCES_505.22,Disney's Peter Pan: The Legend of Never Land
SCES-50526,SCES_505.26,DISNEY'S PETER PAN - THE LEGEND OF NEVER-LAND
SCES-50531,SCES_505.31,Disney's Peter Pan: The Legend of Never Land
SCES-50558,SCES_505.58,DSF Fußball Manager 2002
SCES-50595,SCES_505.95,"Disney/Pixar Monsters, Inc.: Scare Island"
SCES-50596,SCES_505.96,DISNEY'S PIXAR - MONSTERS INC. - SKRAEMMEOEN
SCES-50597,SCES_505.97,DISNEY'S PIXAR - MONSTERS EN CO. - SCHRIK EILAND
SCES-50598,SCES_505.98,DISNEY'S PIXAR - MONSTERIT OY - SÄIKKYSAARI
SCES-50599,SCES_505.99,DISNEY'S PIXAR - MONSTRES & CIE. - L'ILE DE L'ÉPOUVANTE
SCES-50600,SCES_506.00,DISNEY'S PIXAR - DIE MONSTER AGE - SCHRECKENS-INSEL
SCES-50601,SCES_506.01,DISNEY'S PIXAR - MONSTER & CO. - L'ISOLA DELLO SPAVENTO
SCES-50602,SCES_506.02,Disney/Pixar's Monsters Inc. - Scare Island
SCES-50603,SCES_506.03,"Monsters, Inc.: Scare Island"
SCES-50604,SCES_506.04,DISNEY'S PIXAR - MONSTER INC. - SKRÄMMARÖN
